circo,nom circo,color1,candidat1,score1,candidat2,score2,candidat3,score3,candidat4,score4
84-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
84-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
84-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
84-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
84-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
85-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
85-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
85-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
85-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
85-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
86-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
86-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
86-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
86-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
88-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
88-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
88-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
88-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
986-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
89-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
89-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
89-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
78-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
3-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
16-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
19-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
23-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
79-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
70-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
65-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
87-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
36-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
42-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
48-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
50-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
51-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
54-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
57-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
58-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-22,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-23,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
59-24,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-19,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-20,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
75-21,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-13,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
62-14,Ain 1,MDM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
63-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
71-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
76-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
93-13,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
80-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
81-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
94-12,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
976-1,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
976-2,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
977-1,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-1,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-2,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-3,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-4,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-5,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-6,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-7,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-8,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-9,Ain 1,ECO,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
999-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2a-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2a-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2b-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2b-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
